-36.15171429533	-40.98994757950312
-36.27929665635324	-36.77947493981067
-37.2362227701624	-36.205318517402965
-40.68115677987539	-37.35363136221837
-44.126090789588375	-39.45887157771328
-46.231328239968526	-40.033028000120986
-48.336565690348685	-37.73640231049018
-46.805483908254025	-35.43977662085936
-43.360549898541045	-33.334536405364446
-39.91561588882806	-32.37760903468495
-35.70514098806774	-31.80345261227724
-32.64297742387842	-31.61206713814134
-31.11189564178376	-29.506826922646425
-35.32237054254408	-27.78435765542332
-37.61899321568607	-24.72219006924891
-35.89652621082958	-22.042793431346297
-33.663706399426175	-22.42555658832073
