-38.746857931687416	-32.21460001852468
-37.02919664121102	-27.108358337803296
-44.99613232225131	-23.81169096738543
-50.49057072296876	-26.558913776066987
-49.39168304282527	-33.15224851690269
-48.842239202753525	-36.44891588732055
-46.0950200023948	-38.646694134265786
-41.699469281820846	-41.94336150468365
-35.93030896106754	-44.69058431336519
-30.16114864031421	-47.71252940291489
-25.76559791974026	-49.08614080725566
-16.42505263852061	-49.36086308812381
-5.436175837085713	-47.437807122046735
4.7285352042415525	-43.04225062815626
